(0.00056746656242375414, 'F-Count-Times-P')
(0.00056506246683764164, 'F-Count-::-C2')
(0.00055642237241371271, 'F-Count-FPlus-P')
(0.00054565782373848493, 'F-Count-Plus-C2')
(0.00054500930103222882, 'F-Count-FTimes-P')
(0.00053971258179868673, 'F-Is-Type-char')
(0.00051139098041371887, 'F-Is-Lit-Int')
(0.0004744156792145667, 'F-Count-Lt-C1')
(0.00045276933734416687, 'F-Count-Plus-C3')
(0.0004354251384991371, 'F-Is-Mod')
(0.00039761397888500133, 'F-Count-Neq-C1')
(0.0003823096699192029, 'F-Is-Cosine')
(0.00037292018152527349, 'F-Count-Mod-C2')
(0.00036711239698621501, 'F-Is-Thresh')
(0.00035031738318375957, 'F-Is-VarX')
(0.00034070295406518104, 'F-Count-Lt-C2')
(0.00031923913204171282, 'F-Count-Cosine-Case-P')
(0.00031864802231960243, 'F-Count-(,)-Case-C2')
(0.00030481789865121917, 'F-Is-Times')
(0.00030119123792912684, 'F-Count-VarX-Case-P')
(0.00025745419943238099, 'F-Is-::-Case')
(0.00025140081648284887, 'F-Is-Minus')
(0.00025140081648284887, 'F-Count-Cosine-P')
(0.00024419554562780423, 'F-Count-Minus-C1')
(0.00022822196200242989, 'F-Is-Type-char-P')
(0.00020839369310460233, 'F-Is-Lt')
(0.00019045516400215825, 'F-Is-Thresh-Case')
(0.00018622282702433245, 'F-Count-Lit-Float-C2')
(0.0001430377367750902, 'F-Is-Fun')
(0.0001424233171629048, 'F-Count-Neq-C2')
(0.00012329862731110872, 'F-Is-Type-unit-C2')
(0.00010562325970286364, 'F-Is-Average-Case')
(0.00010475034020118702, 'F-Is-Div')
(7.3761697891669274e-05, 'F-Is-Type-float-C3')
(5.2375170100593508e-05, 'F-Count-Times-Case-P')
(3.533915373940144e-05, 'F-Count-Gt-C2')
(1.8622282702433324e-05, 'F-Count-VarY-C1')
(4.0811820857605696e-06, 'F-Is-Type-string-C3')
(0.0, 'F-Is-[]-Case')
(0.0, 'F-Is-VarY-Case')
(0.0, 'F-Is-VarY')
(0.0, 'F-Is-VarX-Case')
(0.0, 'F-Is-Type-unit-C1')
(0.0, 'F-Is-Type-float-C2')
(0.0, 'F-Is-Type-char-C3')
(0.0, 'F-Is-Type-char-C2')
(0.0, 'F-Is-Type-bool-C3')
(0.0, 'F-Is-Times.1')
(0.0, 'F-Is-Times-Case')
(0.0, 'F-Is-Sine-Case')
(0.0, 'F-Is-Sine')
(0.0, 'F-Is-Seq')
(0.0, 'F-Is-Or')
(0.0, 'F-Is-Neq')
(0.0, 'F-Is-Lit-String')
(0.0, 'F-Is-Lit-Float')
(0.0, 'F-Is-Lit-Char')
(0.0, 'F-Is-Le')
(0.0, 'F-Is-Gt')
(0.0, 'F-Is-Ge')
(0.0, 'F-Is-FTimes')
(0.0, 'F-Is-FMinus')
(0.0, 'F-Is-FExp')
(0.0, 'F-Is-FDiv')
(0.0, 'F-Is-Eq')
(0.0, 'F-Is-Cosine-Case')
(0.0, 'F-Is-Average')
(0.0, 'F-Is-And')
(0.0, 'F-InSlice')
(0.0, 'F-Count-[]-Case-C3')
(0.0, 'F-Count-[]-Case-C2')
(0.0, 'F-Count-VarY-P')
(0.0, 'F-Count-VarY-Case-P')
(0.0, 'F-Count-VarY-Case-C3')
(0.0, 'F-Count-VarY-Case-C2')
(0.0, 'F-Count-VarY-Case-C1')
(0.0, 'F-Count-VarY-C3')
(0.0, 'F-Count-VarY-C2')
(0.0, 'F-Count-VarX-P')
(0.0, 'F-Count-VarX-Case-C3')
(0.0, 'F-Count-VarX-Case-C2')
(0.0, 'F-Count-VarX-Case-C1')
(0.0, 'F-Count-VarX-C3')
(0.0, 'F-Count-VarX-C2')
(0.0, 'F-Count-VarX-C1')
(0.0, 'F-Count-Times-P.1')
(0.0, 'F-Count-Times-Case-C3')
(0.0, 'F-Count-Times-Case-C2')
(0.0, 'F-Count-Times-Case-C1')
(0.0, 'F-Count-Times-C3.1')
(0.0, 'F-Count-Times-C3')
(0.0, 'F-Count-Times-C2.1')
(0.0, 'F-Count-Times-C2')
(0.0, 'F-Count-Times-C1.1')
(0.0, 'F-Count-Times-C1')
(0.0, 'F-Count-Thresh-P')
(0.0, 'F-Count-Thresh-Case-P')
(0.0, 'F-Count-Thresh-Case-C3')
(0.0, 'F-Count-Thresh-Case-C2')
(0.0, 'F-Count-Thresh-Case-C1')
(0.0, 'F-Count-Thresh-C3')
(0.0, 'F-Count-Thresh-C2')
(0.0, 'F-Count-Thresh-C1')
(0.0, 'F-Count-Sine-Case-P')
(0.0, 'F-Count-Sine-Case-C3')
(0.0, 'F-Count-Sine-Case-C2')
(0.0, 'F-Count-Sine-Case-C1')
